EmailText,Label
Urgent! Your account has been suspended.,1
Meeting is scheduled at 4 PM today.,0
You won a lottery! Click the link to claim.,1
Here is the monthly report you requested.,0
Please verify your account information.,1
Reminder: Your subscription is about to expire.,0
Get your free gift card now! Click here.,1
Your package has been shipped.,0
Important: Your payment details need updating.,1
Company holiday party details inside.,0
Claim your prize now before it's too late.,1
Join our webinar on digital marketing tomorrow.,0
You've received a new message from HR.,0
Your credit card is about to expire. Update now.,1
Special offer just for you! Get 50% off.,1
New job opportunity at XYZ company.,0
You’ve been selected for a special promotion!,1
Important: Action required to secure your account.,1
Your package has arrived.,0
Exclusive VIP invitation for you!,1
You have a meeting with the CEO tomorrow.,0
Complete your registration to get started.,1
Don't miss out on the limited-time offer.,1
Monthly newsletter: Updates from the company.,0
Alert: Suspicious login attempt on your account.,1
Your report is ready for review.,0
